Customer_Number,Offer_Accepted,Income_Level,Bank_Accounts_Open,Overdraft_Protection,Credit_Rating,Credit_Cards_Held,Homes_Owned,Household_Size,Own_Your_Home,Average_Balance
1,0,1,1,0,1,2,1,4,0,1160.75
2,0,2,1,0,2,2,2,5,1,147.25
3,0,1,2,0,2,2,1,2,1,276.50
4,0,2,2,0,1,1,1,4,0,1219.00
5,0,2,1,0,2,2,1,6,1,1211.00
6,0,2,1,0,1,3,1,4,0,1114.75
7,0,2,1,0,2,2,1,3,0,283.75
8,0,3,1,0,2,4,1,4,1,278.50
9,0,2,1,0,3,2,1,4,1,1005.00
10,0,1,2,0,3,3,2,4,1,974.25
11,0,2,1,0,2,3,1,2,1,1135.25
12,0,1,1,0,2,3,2,5,1,1221.00
13,0,2,1,0,3,1,1,2,1,1150.50
14,0,3,1,0,1,1,1,3,0,1052.25
15,0,3,2,0,1,3,1,3,1,1013.25
16,0,1,1,0,3,2,1,2,0,1012.25
17,0,3,2,0,2,1,1,4,1,1217.00
18,0,3,2,0,1,2,1,4,1,1185.25
19,0,2,1,0,3,1,1,4,0,1059.75
20,0,2,1,0,1,2,1,5,1,1086.75
21,0,3,1,0,1,2,1,4,1,1175.25
22,0,2,1,0,3,2,2,3,1,811.75
23,0,1,1,0,1,1,1,3,1,1754.00
24,0,1,1,0,1,3,1,5,0,689.50
25,0,3,1,0,3,2,1,4,1,1018.25
26,0,2,1,1,1,3,2,5,1,1130.25
27,0,3,2,0,3,3,2,1,1,877.00
28,1,2,1,0,3,1,1,2,0,769.50
29,0,2,1,1,3,1,1,3,1,709.00
30,0,1,1,0,2,1,1,1,1,690.00
31,0,2,1,0,1,2,1,3,0,863.25
32,0,3,2,0,3,1,1,5,1,733.00
33,0,3,1,0,1,2,2,4,0,771.00
34,0,3,3,0,2,1,1,4,1,659.50
35,0,2,1,0,3,2,1,2,0,1258.00
36,0,1,1,0,1,2,1,4,1,875.25
37,0,2,2,0,2,2,2,2,1,675.75
38,0,2,1,0,2,2,1,4,0,1095.75
39,0,1,1,0,3,1,2,8,0,1285.00
40,0,3,1,1,2,2,1,3,1,1079.25
41,0,3,1,1,1,1,1,3,1,1119.75
42,0,1,1,0,2,3,1,3,1,172.00
43,0,2,1,0,2,1,1,4,0,834.75
44,0,1,2,0,2,3,1,3,1,1044.75
45,0,2,1,0,3,2,1,2,0,838.75
46,1,1,1,1,3,2,1,5,1,851.25
47,0,2,1,0,2,2,1,6,1,1040.25
48,0,3,1,1,1,2,1,3,0,987.00
49,0,2,1,0,3,1,2,3,0,822.00
50,0,2,2,1,1,1,1,5,1,650.50
51,1,3,1,0,1,2,1,2,1,931.75
52,0,2,1,0,2,1,1,3,1,988.00
53,0,2,1,0,2,1,1,4,0,1145.50
54,0,2,3,0,3,1,1,4,0,1162.50
55,0,2,1,0,1,2,2,3,1,954.25
56,0,1,1,0,2,4,2,5,1,1301.25
57,0,2,1,0,2,2,1,4,1,1148.75
58,1,3,1,0,2,1,1,2,1,1192.75
59,0,2,1,0,1,2,3,2,1,1195.50
60,0,2,1,0,1,2,1,3,1,1351.50
61,0,2,2,0,1,1,1,4,0,1062.25
62,0,2,1,0,1,2,1,2,1,1147.25
63,0,2,1,0,3,1,1,3,1,1308.50
64,0,2,2,0,1,2,1,2,0,363.00
65,0,2,1,0,3,1,2,4,1,929.50
66,0,3,1,0,3,2,1,2,0,718.00
67,0,1,1,0,1,1,1,3,1,1193.25
68,0,2,1,0,2,3,1,2,1,957.75
69,0,2,2,0,3,2,1,4,0,1050.00
70,0,2,2,0,1,2,1,5,1,1266.50
71,0,2,1,0,1,4,1,2,1,1124.75
72,0,1,3,0,1,2,2,1,0,1059.75
73,0,2,1,0,1,1,1,1,0,1014.25
74,0,3,1,0,1,1,1,3,1,891.25
75,1,1,1,0,3,2,2,5,1,1329.50
76,0,2,1,0,2,3,2,4,0,1023.50
77,1,2,1,0,3,1,1,5,1,908.50
78,0,1,1,0,3,1,1,3,1,731.50
79,0,3,1,0,2,2,1,2,0,793.50
80,0,2,2,0,3,1,1,3,1,1735.50
81,0,2,1,0,2,2,1,4,1,970.50
82,0,1,1,0,3,2,1,4,1,995.25
83,0,2,1,0,2,2,1,3,1,904.00
84,0,1,2,0,1,1,1,5,1,1128.50
85,0,2,3,0,2,2,1,3,1,1102.75
86,0,2,1,0,1,1,1,4,1,976.25
87,0,2,2,0,1,2,1,5,1,839.75
88,0,2,1,0,2,2,1,4,0,1293.00
89,0,2,2,0,1,2,1,5,1,819.50
90,0,2,2,0,3,2,2,3,1,1094.50
91,0,3,1,1,3,1,1,2,1,1247.25
92,0,2,1,0,1,3,1,3,1,167.00
93,0,2,1,0,1,3,1,2,1,1144.75
94,0,3,1,0,2,1,1,3,0,909.75
95,0,2,1,1,3,3,1,3,1,976.25
96,0,3,2,0,2,2,3,4,1,741.00
97,0,3,1,0,2,1,1,2,1,1343.75
98,1,3,2,0,3,3,1,3,1,1454.50
99,0,2,1,0,2,1,1,4,0,1791.25
100,0,3,2,1,2,1,1,3,1,1185.75
